JWT 0; JWT 1; JWT 2; JWT 3; JWT 4; PASETO 0; PASETO 1; PASETO 2; PASETO 3; PASETO 4; Fernet 0; Fernet 1; Fernet 2; Fernet 3; Fernet 4; Branca 0; Branca 1; Branca 2; Branca 3; Branca 4; Macaroon 0; Macaroon 1; Macaroon 2; Macaroon 3; Macaroon 4; Opaque 0; Opaque 1; Opaque 2; Opaque 3; Opaque 4; NONE 0; NONE 1; NONE 2; NONE 3; NONE 4; 
19,770679;18,352296;21,692999;19,963736;18,911022;27,97339;22,119769;22,312611;21,601246;28,638716;19,113809;19,135524;18,398837;18,524721;18,311288;21,033247;21,036158;20,390084;22,463982;22,095582;26,355417;27,578199;27,316958;27,89783;29,398292;-1;-1;-1;-1;203,699758;17,740865;17,084306;14,988761;15,215024;16,369894; 
19,660223;19,998605;20,545705;19,937284;19,537514;22,419776;22,106723;22,082949;22,172217;22,519018;18,425171;17,932855;20,253013;20,376096;19,212843;26,251858;24,180235;27,35847;27,855894;26,907268;30,0019;29,229676;29,122144;29,961009;27,445731;-1;-1;-1;-1;203,378272;15,67294;15,079458;15,287221;16,866119;15,854636; 
20,386584;18,17057;17,481977;18,046173;17,556331;23,206306;28,702653;21,814098;22,754719;22,135372;19,638412;18,451227;16,225307;17,944943;17,941068;25,868754;26,543322;25,979663;24,590783;24,294729;23,432195;23,0373;22,454348;22,791084;21,807251;-1;-1;-1;-1;199,485469;13,845292;14,746689;15,619072;15,089474;13,062324; 
16,756033;18,849724;19,256147;17,876438;19,017273;28,69079;22,714228;30,411847;30,024861;26,857987;17,524486;16,504013;20,19121;20,234899;20,671538;26,431576;28,268579;26,381231;26,697726;27,930299;24,653913;24,820364;25,180419;24,836171;25,935012;-1;-1;-1;-1;202,559417;15,578496;13,255989;13,76727;13,122924;15,494605; 
20,298541;18,0379;17,234942;17,952551;17,264082;24,839991;23,668898;21,542331;20,611826;24,322414;17,132471;20,886605;16,729447;16,026779;16,432461;23,00558;23,430717;22,827032;22,009186;22,88366;25,590371;26,822063;26,826419;26,280514;26,345388;-1;-1;-1;-1;198,047969;14,268641;15,571378;19,670345;17,097399;16,651389; 
16,923981;18,892021;18,178065;19,047419;18,215719;23,511083;21,4297;23,129378;22,159139;22,928803;18,640535;17,100184;18,607724;15,535907;15,497497;20,866087;20,70785;20,968586;22,71293;22,677991;26,352924;26,24357;26,138362;26,379711;31,133144;-1;-1;-1;-1;202,623459;14,355467;14,929182;15,618794;16,21976;15,979594; 
17,089107;15,7712;14,472872;18,213839;14,257067;20,593514;19,670665;21,730277;21,976811;20,783043;15,075014;18,698808;15,272306;18,553274;18,059393;22,346047;22,453961;22,184646;20,114215;20,129576;29,550846;28,734136;28,813777;28,845569;23,151242;-1;-1;-1;-1;198,13327;15,730454;13,522653;15,100207;15,193745;12,605932; 
14,120413;17,922994;14,071981;14,893366;14,949598;21,225904;19,195829;19,413617;19,81565;19,27509;15,102585;14,59569;15,387909;14,786625;15,255647;24,564718;24,458368;24,505855;25,195976;25,13329;23,242004;23,797866;23,65034;23,906058;23,477994;-1;-1;-1;-1;199,417264;12,262356;12,940571;13,234566;12,926599;12,769777; 
15,969525;15,140566;15,607701;16,376441;15,68204;18,879308;18,486805;18,783825;18,764829;19,537241;14,446835;16,041992;15,350121;15,119042;15,927201;20,489304;20,88122;21,481624;21,641646;21,372886;23,546148;24,846762;24,33368;24,582525;24,359602;-1;-1;-1;-1;204,290969;12,744838;13,979794;13,608268;12,974426;13,226107; 
15,78572;14,71471;15,20908;15,291435;15,428112;18,920514;21,989946;18,93597;19,014468;18,392565;17,592309;14,601389;16,229303;14,640582;14,494979;21,282742;21,25503;21,561405;21,869411;22,069367;24,36587;22,400519;22,483036;22,507261;22,521866;-1;-1;-1;-1;198,288599;14,643905;13,674264;14,689884;14,283865;14,471166; 
